name,level,start_point,end_point,duration_days
Pinehaven,easy,42,47,2
Dragon's Rest,easy,47,20,3
Wolf Hollow,easy,17,36,1
Starlight Springs,medium,14,12,4
Bear Creek,medium,11,48,1
Moonstone,hard,38,14,4
Thunderfoot,easy,25,39,1
Whisperwind,easy,39,3,3
Cragmoor,easy,1,19,4
Eaglespire,hard,27,4,2
Frostholm,easy,18,43,2
Willowbend,easy,0,36,5
Redwater,easy,9,34,2
Shadowfen,easy,9,43,1
Cinderfall,hard,15,45,4
Ashenvale,hard,22,17,4
Riverglen,hard,20,15,2
Bramblemoor,medium,25,41,1
Crystal Bay,medium,14,22,5
Silverkeep,hard,8,18,2
Foxridge,hard,48,23,2
Ironforge,easy,3,13,5
Goldenleaf,easy,22,18,5
Brightwood,medium,9,22,3
Mistwood,hard,31,23,2
Sunpeak,medium,39,21,5
Blackrock,medium,28,46,2
Shadewood,medium,32,44,1
Falconridge,hard,42,47,1
Blizzardvale,medium,43,32,5
Glimmerfield,easy,13,36,2
Wildgrove,hard,42,42,3
Winter's Hollow,easy,9,45,3
Maplehold,medium,46,43,4
Coppercliff,medium,14,33,2
Tumbleweed Flats,medium,24,44,5
Bluewater,hard,6,1,2
Dustwind,hard,21,6,2
Cloverreach,medium,21,20,3
Sunshadow,hard,9,13,3
Ravencliff,hard,16,26,5
Whistle Hollow,easy,6,31,5
Sagewood,medium,27,23,1
Lakeshire,hard,40,31,1
Sandstone Bay,easy,37,20,2
Marblebridge,medium,28,0,4
Oakhaven,medium,33,29,1
Everglade,medium,6,42,5
Blazebrook,easy,42,37,5
Dusktide,hard,45,50,2
