trail_id,user_id,score
28,32,5
20,44,3
37,44,6
29,29,1
17,10,9
36,5,5
42,31,1
7,48,0
42,35,8
41,42,7
41,26,8
45,24,3
18,36,7
26,1,4
27,16,9
45,31,4
9,39,10
40,17,7
19,3,4
30,11,3
9,31,8
34,50,2
3,34,1
16,39,0
46,23,5
9,49,10
43,14,9
30,19,6
12,17,10
23,9,7
5,45,0
24,23,1
8,20,8
46,8,9
44,14,3
47,37,2
35,46,8
23,17,9
18,23,0
31,39,7
12,17,8
33,11,3
19,9,7
6,31,2
47,24,10
36,4,1
19,37,5
2,7,10
47,32,10
4,48,1
40,11,7
38,8,9
21,42,10
42,10,9
23,23,10
33,21,8
15,40,4
30,14,6
8,12,5
27,20,5
38,5,9
50,8,5
11,4,4
26,29,1
30,7,8
20,18,5
13,12,3
18,20,10
26,50,0
10,34,10
34,12,8
20,18,6
8,27,6
49,20,10
45,22,2
3,45,3
41,37,0
50,16,8
39,22,8
19,1,7
42,22,7
39,25,9
7,3,3
17,49,7
41,33,7
16,24,9
35,46,5
29,21,5
2,25,0
42,29,4
50,4,1
36,25,1
31,23,1
47,3,2
26,32,2
42,40,3
23,36,10
7,32,10
44,13,10
39,28,8
21,23,0
48,14,6
24,7,10
16,30,2
26,9,4
27,36,3
10,35,10
11,14,6
18,21,1
19,21,7
31,46,6
11,11,7
14,2,5
18,50,6
35,1,2
35,45,3
13,35,4
8,49,7
6,44,6
45,4,1
37,4,6
27,46,5
22,4,10
46,37,6
9,31,1
49,50,3
18,19,4
47,37,5
43,6,2
7,21,2
20,11,10
33,40,10
26,3,8
7,33,1
10,23,0
28,31,1
35,49,7
33,7,1
50,41,2
18,18,10
2,20,9
16,48,10
12,6,10
10,36,8
46,1,6
15,30,7
48,3,8
43,44,9
12,19,5
28,34,10
2,33,7
44,3,9
14,47,5
34,27,9
42,40,2
15,2,8
36,28,2
17,14,9
10,1,4
7,16,10
25,17,3
7,28,8
5,24,6
47,17,6
38,31,8
21,26,6
15,3,0
22,26,9
43,14,2
50,8,2
7,10,6
11,33,10
19,47,10
20,40,2
28,41,9
46,41,10
20,11,8
6,9,7
34,47,5
27,5,2
45,25,10
41,30,1
39,28,1
11,43,3
46,15,2
12,35,7
24,27,4
37,30,2
43,29,8
17,38,3
48,27,6
23,15,5
3,2,2
8,1,2
38,28,0
4,30,5
7,46,10
40,35,8
35,11,9
47,43,3
